,fold,layer_size,momentum_value,activation_value,feature_number,score
121,1,100,0,logistic,13,0.7711111111111111
122,2,100,0,logistic,13,0.7782705099778271
123,3,100,0,logistic,13,0.7933333333333333
124,4,100,0,logistic,13,0.7494456762749445
125,5,100,0,logistic,13,0.8177777777777778
126,6,100,0,logistic,13,0.7871396895787139
127,7,100,0,logistic,13,0.78
128,8,100,0,logistic,13,0.7827050997782705
129,9,100,0,logistic,13,0.7777777777777778
130,0,100,0,logistic,14,0.7827050997782705
131,1,100,0,logistic,14,0.8044444444444444
132,2,100,0,logistic,14,0.7738359201773836
133,3,100,0,logistic,14,0.8022222222222222
134,4,100,0,logistic,14,0.7716186252771619
135,5,100,0,logistic,14,0.7866666666666666
136,6,100,0,logistic,14,0.7871396895787139
137,7,100,0,logistic,14,0.8066666666666666
138,8,100,0,logistic,14,0.7738359201773836
139,9,100,0,logistic,14,0.7888888888888889
140,0,100,0,logistic,15,0.7760532150776053
141,1,100,0,logistic,15,0.7844444444444445
142,2,100,0,logistic,15,0.8070953436807096
143,3,100,0,logistic,15,0.7711111111111111
144,4,100,0,logistic,15,0.7849223946784922
145,5,100,0,logistic,15,0.7577777777777778
146,6,100,0,logistic,15,0.7804878048780488
147,7,100,0,logistic,15,0.7911111111111111
148,8,100,0,logistic,15,0.7915742793791575
149,9,100,0,logistic,15,0.7888888888888889
150,0,100,0,logistic,16,0.7893569844789357
151,1,100,0,logistic,16,0.8133333333333334
152,2,100,0,logistic,16,0.7583148558758315
153,3,100,0,logistic,16,0.7666666666666667
154,4,100,0,logistic,16,0.7937915742793792
155,5,100,0,logistic,16,0.7866666666666666
156,6,100,0,logistic,16,0.7760532150776053
157,7,100,0,logistic,16,0.7977777777777778
158,8,100,0,logistic,16,0.7605321507760532
159,9,100,0,logistic,16,0.8133333333333334
160,0,100,0,logistic,17,0.7982261640798226
161,1,100,0,logistic,17,0.7777777777777778
162,2,100,0,logistic,17,0.8004434589800443
163,3,100,0,logistic,17,0.7977777777777778
164,4,100,0,logistic,17,0.7871396895787139
165,5,100,0,logistic,17,0.8088888888888889
166,6,100,0,logistic,17,0.7671840354767184
