,fold,layer_size,momentum_value,activation_value,feature_number,score
46,6,100,0,relu,5,0.6252771618625277
47,7,100,0,relu,5,0.6288888888888889
48,8,100,0,relu,5,0.6541019955654102
49,9,100,0,relu,5,0.6066666666666667
50,0,100,0,relu,6,0.5831485587583148
51,1,100,0,relu,6,0.5977777777777777
52,2,100,0,relu,6,0.5942350332594235
53,3,100,0,relu,6,0.5955555555555555
54,4,100,0,relu,6,0.5720620842572062
55,5,100,0,relu,6,0.6133333333333333
56,6,100,0,relu,6,0.5720620842572062
57,7,100,0,relu,6,0.5733333333333334
58,8,100,0,relu,6,0.6164079822616408
59,9,100,0,relu,6,0.5977777777777777
60,0,100,0,relu,7,0.6097560975609756
61,1,100,0,relu,7,0.5666666666666667
62,2,100,0,relu,7,0.5942350332594235
63,3,100,0,relu,7,0.6311111111111111
64,4,100,0,relu,7,0.6363636363636364
65,5,100,0,relu,7,0.6333333333333333
66,6,100,0,relu,7,0.6452328159645233
67,7,100,0,relu,7,0.6311111111111111
68,8,100,0,relu,7,0.6031042128603105
69,9,100,0,relu,7,0.5977777777777777
70,0,100,0,relu,8,0.6452328159645233
71,1,100,0,relu,8,0.6444444444444445
72,2,100,0,relu,8,0.6252771618625277
73,3,100,0,relu,8,0.6088888888888889
74,4,100,0,relu,8,0.6518847006651884
75,5,100,0,relu,8,0.6177777777777778
76,6,100,0,relu,8,0.623059866962306
77,7,100,0,relu,8,0.5866666666666667
78,8,100,0,relu,8,0.6319290465631929
79,9,100,0,relu,8,0.64
80,0,100,0,relu,9,0.656319290465632
81,1,100,0,relu,9,0.6644444444444444
82,2,100,0,relu,9,0.6385809312638581
83,3,100,0,relu,9,0.7155555555555555
84,4,100,0,relu,9,0.7317073170731707
85,5,100,0,relu,9,0.7
86,6,100,0,relu,9,0.7184035476718403
87,7,100,0,relu,9,0.7044444444444444
88,8,100,0,relu,9,0.6917960088691796
89,9,100,0,relu,9,0.7133333333333334
90,0,100,0,relu,10,0.7450110864745011
91,1,100,0,relu,10,0.6888888888888889
92,2,100,0,relu,10,0.729490022172949
93,3,100,0,relu,10,0.72
94,4,100,0,relu,10,0.7184035476718403
95,5,100,0,relu,10,0.7377777777777778
96,6,100,0,relu,10,0.7161862527716186
97,7,100,0,relu,10,0.7222222222222222
98,8,100,0,relu,10,0.7494456762749445
99,9,100,0,relu,10,0.7177777777777777
100,0,100,0,relu,11,0.6940133037694013
101,1,100,0,relu,11,0.7422222222222222
102,2,100,0,relu,11,0.70509977827051
103,3,100,0,relu,11,0.7377777777777778
104,4,100,0,relu,11,0.7361419068736141
105,5,100,0,relu,11,0.7244444444444444
106,6,100,0,relu,11,0.753880266075388
107,7,100,0,relu,11,0.7044444444444444
108,8,100,0,relu,11,0.7272727272727273
109,9,100,0,relu,11,0.7133333333333334
110,0,100,0,relu,12,0.7339246119733924
111,1,100,0,relu,12,0.7577777777777778
112,2,100,0,relu,12,0.7450110864745011
113,3,100,0,relu,12,0.7266666666666667
114,4,100,0,relu,12,0.7450110864745011
115,5,100,0,relu,12,0.7133333333333334
116,6,100,0,relu,12,0.7427937915742794
117,7,100,0,relu,12,0.7466666666666667
118,8,100,0,relu,12,0.7738359201773836
119,9,100,0,relu,12,0.7266666666666667
120,0,100,0,relu,13,0.7073170731707317
121,1,100,0,relu,13,0.7533333333333333
122,2,100,0,relu,13,0.7627494456762749
123,3,100,0,relu,13,0.7488888888888889
124,4,100,0,relu,13,0.7649667405764967
125,5,100,0,relu,13,0.7644444444444445
126,6,100,0,relu,13,0.7627494456762749
127,7,100,0,relu,13,0.7488888888888889
128,8,100,0,relu,13,0.7317073170731707
129,9,100,0,relu,13,0.7266666666666667
130,0,100,0,relu,14,0.7583148558758315
131,1,100,0,relu,14,0.7377777777777778
132,2,100,0,relu,14,0.7472283813747228
133,3,100,0,relu,14,0.7444444444444445
134,4,100,0,relu,14,0.7472283813747228
135,5,100,0,relu,14,0.7733333333333333
136,6,100,0,relu,14,0.7516629711751663
137,7,100,0,relu,14,0.7333333333333333
138,8,100,0,relu,14,0.7649667405764967
139,9,100,0,relu,14,0.7311111111111112
140,0,100,0,relu,15,0.7583148558758315
141,1,100,0,relu,15,0.7666666666666667
142,2,100,0,relu,15,0.7494456762749445
143,3,100,0,relu,15,0.7644444444444445
144,4,100,0,relu,15,0.7516629711751663
145,5,100,0,relu,15,0.7622222222222222
146,6,100,0,relu,15,0.7472283813747228
147,7,100,0,relu,15,0.7355555555555555
148,8,100,0,relu,15,0.7516629711751663
149,9,100,0,relu,15,0.7466666666666667
150,0,100,0,relu,16,0.7760532150776053
151,1,100,0,relu,16,0.7711111111111111
152,2,100,0,relu,16,0.7450110864745011
153,3,100,0,relu,16,0.7511111111111111
154,4,100,0,relu,16,0.753880266075388
155,5,100,0,relu,16,0.7755555555555556
156,6,100,0,relu,16,0.7516629711751663
157,7,100,0,relu,16,0.7488888888888889
158,8,100,0,relu,16,0.7450110864745011
159,9,100,0,relu,16,0.78
160,0,100,0,relu,17,0.7871396895787139
161,1,100,0,relu,17,0.7266666666666667
162,2,100,0,relu,17,0.7472283813747228
163,3,100,0,relu,17,0.7666666666666667
164,4,100,0,relu,17,0.7671840354767184
165,5,100,0,relu,17,0.7622222222222222
166,6,100,0,relu,17,0.7427937915742794
167,7,100,0,relu,17,0.7422222222222222
168,8,100,0,relu,17,0.7738359201773836
169,9,100,0,relu,17,0.7422222222222222
170,0,100,0,relu,18,0.753880266075388
171,1,100,0,relu,18,0.7288888888888889
172,2,100,0,relu,18,0.7472283813747228
173,3,100,0,relu,18,0.7533333333333333
174,4,100,0,relu,18,0.7649667405764967
175,5,100,0,relu,18,0.7377777777777778
176,6,100,0,relu,18,0.7272727272727273
177,7,100,0,relu,18,0.7733333333333333
178,8,100,0,relu,18,0.7450110864745011
179,9,100,0,relu,18,0.7622222222222222
180,0,100,0,relu,19,0.7849223946784922
181,1,100,0,relu,19,0.7444444444444445
182,2,100,0,relu,19,0.7450110864745011
183,3,100,0,relu,19,0.7711111111111111
184,4,100,0,relu,19,0.7272727272727273
185,5,100,0,relu,19,0.7822222222222223
186,6,100,0,relu,19,0.7782705099778271
187,7,100,0,relu,19,0.7733333333333333
188,8,100,0,relu,19,0.7871396895787139
189,9,100,0,relu,19,0.7311111111111112
190,0,100,0,relu,20,0.7627494456762749
191,1,100,0,relu,20,0.7377777777777778
192,2,100,0,relu,20,0.7694013303769401
193,3,100,0,relu,20,0.7555555555555555
194,4,100,0,relu,20,0.7827050997782705
195,5,100,0,relu,20,0.7422222222222222
196,6,100,0,relu,20,0.7827050997782705
197,7,100,0,relu,20,0.7444444444444445
198,8,100,0,relu,20,0.7671840354767184
199,9,100,0,relu,20,0.7622222222222222
200,0,100,0,relu,21,0.7671840354767184
201,1,100,0,relu,21,0.7511111111111111
202,2,100,0,relu,21,0.7450110864745011
203,3,100,0,relu,21,0.7577777777777778
204,4,100,0,relu,21,0.7516629711751663
205,5,100,0,relu,21,0.7533333333333333
206,6,100,0,relu,21,0.7605321507760532
207,7,100,0,relu,21,0.7577777777777778
208,8,100,0,relu,21,0.7671840354767184
209,9,100,0,relu,21,0.7755555555555556
210,0,100,0,relu,22,0.7450110864745011
211,1,100,0,relu,22,0.76
212,2,100,0,relu,22,0.7494456762749445
213,3,100,0,relu,22,0.7688888888888888
214,4,100,0,relu,22,0.753880266075388
215,5,100,0,relu,22,0.7755555555555556
216,6,100,0,relu,22,0.7716186252771619
217,7,100,0,relu,22,0.7577777777777778
218,8,100,0,relu,22,0.7472283813747228
219,9,100,0,relu,22,0.76
220,0,100,0,relu,23,0.7893569844789357
221,1,100,0,relu,23,0.7644444444444445
222,2,100,0,relu,23,0.7605321507760532
223,3,100,0,relu,23,0.7666666666666667
224,4,100,0,relu,23,0.7738359201773836
225,5,100,0,relu,23,0.7711111111111111
226,6,100,0,relu,23,0.753880266075388
227,7,100,0,relu,23,0.7644444444444445
228,8,100,0,relu,23,0.7871396895787139
229,9,100,0,relu,23,0.7577777777777778
230,0,100,0,relu,24,0.7494456762749445
231,1,100,0,relu,24,0.7622222222222222
232,2,100,0,relu,24,0.7627494456762749
233,3,100,0,relu,24,0.76
234,4,100,0,relu,24,0.7782705099778271
235,5,100,0,relu,24,0.7666666666666667
236,6,100,0,relu,24,0.7716186252771619
237,7,100,0,relu,24,0.8088888888888889
238,8,100,0,relu,24,0.7649667405764967
239,9,100,0,relu,24,0.74
240,0,100,0,relu,25,0.7516629711751663
241,1,100,0,relu,25,0.76
242,2,100,0,relu,25,0.7649667405764967
243,3,100,0,relu,25,0.7688888888888888
244,4,100,0,relu,25,0.7361419068736141
245,5,100,0,relu,25,0.7711111111111111
246,6,100,0,relu,25,0.7472283813747228
247,7,100,0,relu,25,0.7666666666666667
248,8,100,0,relu,25,0.7649667405764967
249,9,100,0,relu,25,0.7822222222222223
250,0,100,0,relu,26,0.7560975609756098
251,1,100,0,relu,26,0.7888888888888889
252,2,100,0,relu,26,0.7827050997782705
253,3,100,0,relu,26,0.7711111111111111
254,4,100,0,relu,26,0.7671840354767184
255,5,100,0,relu,26,0.7911111111111111
256,6,100,0,relu,26,0.7649667405764967
257,7,100,0,relu,26,0.7933333333333333
258,8,100,0,relu,26,0.7738359201773836
259,9,100,0,relu,26,0.7422222222222222
260,0,100,0,relu,27,0.7760532150776053
261,1,100,0,relu,27,0.78
262,2,100,0,relu,27,0.7450110864745011
263,3,100,0,relu,27,0.7666666666666667
264,4,100,0,relu,27,0.7516629711751663
265,5,100,0,relu,27,0.78
266,6,100,0,relu,27,0.7871396895787139
267,7,100,0,relu,27,0.7688888888888888
268,8,100,0,relu,27,0.7782705099778271
269,9,100,0,relu,27,0.7555555555555555
270,0,100,0,relu,28,0.7494456762749445
271,1,100,0,relu,28,0.7844444444444445
272,2,100,0,relu,28,0.7716186252771619
273,3,100,0,relu,28,0.74
274,4,100,0,relu,28,0.7716186252771619
275,5,100,0,relu,28,0.7844444444444445
276,6,100,0,relu,28,0.7871396895787139
277,7,100,0,relu,28,0.7866666666666666
278,8,100,0,relu,28,0.7871396895787139
279,9,100,0,relu,28,0.7755555555555556
280,0,100,0,relu,29,0.7738359201773836
281,1,100,0,relu,29,0.8044444444444444
282,2,100,0,relu,29,0.7849223946784922
283,3,100,0,relu,29,0.8022222222222222
284,4,100,0,relu,29,0.7671840354767184
285,5,100,0,relu,29,0.7777777777777778
286,6,100,0,relu,29,0.7982261640798226
287,7,100,0,relu,29,0.7666666666666667
288,8,100,0,relu,29,0.7671840354767184
289,9,100,0,relu,29,0.7533333333333333
290,0,100,0,relu,30,0.7760532150776053
291,1,100,0,relu,30,0.7666666666666667
292,2,100,0,relu,30,0.7827050997782705
293,3,100,0,relu,30,0.7911111111111111
294,4,100,0,relu,30,0.7649667405764967
295,5,100,0,relu,30,0.7733333333333333
296,6,100,0,relu,30,0.7738359201773836
297,7,100,0,relu,30,0.7977777777777778
298,8,100,0,relu,30,0.7871396895787139
299,9,100,0,relu,30,0.78
300,0,100,0,relu,31,0.7738359201773836
301,1,100,0,relu,31,0.7977777777777778
302,2,100,0,relu,31,0.7560975609756098
303,3,100,0,relu,31,0.7822222222222223
304,4,100,0,relu,31,0.7738359201773836
305,5,100,0,relu,31,0.78
306,6,100,0,relu,31,0.7782705099778271
307,7,100,0,relu,31,0.7888888888888889
308,8,100,0,relu,31,0.7671840354767184
309,9,100,0,relu,31,0.7911111111111111
310,0,100,0,relu,32,0.7760532150776053
311,1,100,0,relu,32,0.7755555555555556
